Company_issue_count,TRANS.Company
16,"Persolve, LLC - Legal - Series 2"
16,"RSH & Associates, LLC"
16,"Ridge & Valley Realty, Inc."
16,"Southern Credit Recovery, Inc."
16,Standard Mortgage Corporation
16,The Law Office of John P. Frye P.C.
16,"The Schreiber Law Firm, PLLC"
16,USCB Corporation
16,"WINN LAW GROUP, APC"
16,Weststar Mortgage Corporation
16,"William C. Grossman Law, PLLC."
16,Yale Mortgage Corporation
15,AAA Collections
15,"American Equity Mortgage, Inc."
15,American Recovery Service Incorporated
15,Assigned Credit Solutions
15,"Brennan & Clark, Ltd., LLC"
15,Clay Chapman Iwamura Pulice & Nervell
15,Continental Credit Control
15,Continental Home Loans Inc.
15,Credit Plus Inc
15,"Credit Service Company, INC"
15,"Data and Contact Management Solutions, LLC"
15,Education Management Corporation
15,"Esser, James & Associates"
15,"Estate Information Services, LLC"
15,"Fairway Capital Recovery, LLC"
15,First Choice Assets LLC.
15,MID-ISLAND MORTGAGE CORP
15,"Mary Jane M. Elliott, P.C. Attorneys At Law"
15,Matthew Thomas & Associates LLC
15,"Northwest Trustee Services, Inc."
15,"Preferred Credit, Inc."
15,RBC Bank (Georgia)
15,Receivables Management Corporation
15,"Rushmore Service Center, LLC"
15,"Smith, Rouchon & Associates, Inc."
15,The Law Firm of Allan C. Smith
15,"Transfinancial Companies, Inc"
15,Tulsa Adjustment Bureau
15,"Viking Client Services, Inc."
15,Wakpamni Lake Community Corporation
14,Aqua Finance Inc
14,Armor Systems Corporation
14,Aspen Yo LLC
14,"Asset Recovery Group, Inc."
14,Balanced Healthcare Receivables LLC
14,"Berman & Rabin, P.A."
14,"C.Tech Collections, Inc."
14,"Central States Recovery, Inc."
14,"Check City Partnership, LLC"
14,"Collectech Diversified, Inc."
14,"Collections Acquisition Company, Inc."
14,Colorado Housing and Finance Authority
14,Commercial Acceptance Company
14,"Constar Financial Services, LLC"
14,"Credit Management Services, Inc."
14,"Evans Law Associates, P.C."
14,Fairway Independent Mortgage Corporation
14,"Forster, Garbus and Garbus"
14,Global Financial Services Group
14,Granite State Management & Resources
14,Habitat for Humanity
14,Home Financing Center
14,"John C. Bonewicz, P.C."
14,"Kenneth, Eisen & Associates, Ltd."
14,Kings Credit Services
14,Knight Adjustment Bureau
14,LCS Financial Corporation
14,M&S Recovery Solutions
14,"MLD Mortgage, Inc."
14,NorthStar Technologies
14,Oliver Adjustment Co.
14,"Orions Management Group, LLC"
14,Professional Recovery Services Inc.(Closed)
14,"R&R Professional Recovery, Inc."
14,"RCO Legal, P.S."
14,"Receivables Outsourcing, Inc."
14,"Revenue Enterprises, LLC"
14,Rodenburg LLP
14,"Rozlin Financial Group, Inc."
14,SECURITY CREDIT SYSTEMS INC
14,"Shermeta Law Group, P.C."
14,"Solutions To Portfolios, LLC"
14,"Stenger & Stenger, P.C"
14,"Total Customer Service, Inc."
14,"United Resource Systems, Inc"
14,"Village Capital and Investment, LLC"
13,"Andreu, Palma & Andreu, PL"
13,"Bowman, Heintz, Boscia & Vician, P. C."
13,"Brookshaw Management, LLC"
13,"Capital Alliance Financial, LLC"
13,"Capital Markets Cooporative, LLC"
13,CarFinance Capital LLC
13,"Continental Central Credit, Inc."
13,Direct Capital
13,Evergreen Financial Services Inc.
13,"F.H. Cann & Associates, Inc."
13,Fresno Credit Bureau
13,"Goldberg & Peretti, LLC"
13,"Healthcare Collections-I, LLC"
13,"Illinois Collection Service, Inc."
13,InterFirst Mortgage Company
13,"Law Offices of Hayt, Hayt & Landau, LLC"
13,"Lloyd & McDaniel, PLC"
13,"Lynx Asset Services, LLC"
13,Main Street Personal Finance
13,"Millennium Financial Group, L.L.C."
13,Mnet Financial Inc
13,"National Collection Systems, Inc."
13,Northwest Collectors Inc.
13,Pleasant Valley Home Mortgage Corporation
13,Podium Mortgage Capital LLC
13,"Professional Placement Services, LLC"
13,"R.A.Rogers, Inc."
13,Roquemore Holdings LLC
13,Royal United Mortgage LLC
13,"Security National Automotive Acceptance Company, LLC"
13,Sierra Holdings LLC
13,Terrill Outsourcing Group
13,Trans-Fast Remittance LLC
13,"Trinity Financial Services, LLC"
13,Van Dyk Mortgage Corporation
13,Veripro Solutions Inc.
13,Waterstone Mortgage Corporation
12,1st Alliance Lending
12,360 Mortgage
12,Access Receivables Management
12,"Action Collection Agencies, Inc."
12,AmeriCash Holding LLC
12,"American Collection Services, Inc. (OK, TX)"
12,"American Financial Network, Inc."
12,Armcon Corp
12,"Auto Trakk, LLC"
12,Blueshore Recovery
12,Business & Professional Collection Service Inc
12,"CAB Receivables, Inc."
12,"COLLECTION SERVICES OF ATHENS, INC."
12,Castle & Cooke Mortgage
12,"Collection Service Center, Inc."
12,"Collection Services, Inc."
12,Condor Capital Corp.
12,Cooper Hoffman Klein Associates
12,CountryPlace Acceptance Corporation
12,"Credit Bureau of York, Inc."
12,"Credit Collections U.S.A., L.L.C."
12,"Credit Financial Services, lnc"
12,"Direct Recovery Services, LLC"
12,Filings and Claims Inc.
12,Financial Assistance Inc
12,"Harpeth Financial Services, LLC"
12,"Healthcare Management, LLC"
12,Insight Capital LLC (NV)
12,"Jacob Law Group, PLLC"
12,"Lakeview Loan Servicing, LLC"
12,Lien Enforcement Inc
12,"M. G. Credit, Inc."
12,"MSW Capital, LLC"
12,"Metro Collection Service, Inc."
12,MicroBilt / PRBC (formerly CL Verify)
12,"Mid-America Accounts Control Bureau, Inc."
12,Midway Resolution Services LLC
12,Minnesota Life Insurance Company
12,"Mortgage Research Center, LLC"
12,"Municipal Collections Services, Inc."
12,New York State Higher Education Services Corporation (HESC)â
12,Old National Bank
12,Oportun Financial Corporation
12,Optima Recovery Services LLC.
12,"Palm Beach Credit Adjustors, Inc"
12,"Rauch-Milliken International, Inc."
12,"RevMD Partners, LLC."
12,Student Assistance Foundation
12,TrueAccord Corp.
12,United Recovery Worldwide LLC
12,Universal Recovery Corporation
12,"Vantage Sourcing, LLC"
12,"Williams, Alexander & Associates, Inc"
12,"Williams, Rush & Associates, LLC"
12,"Wyndham Capital Mortgage, Inc."
11,"3rd Generation, Inc."
11,Absolute Collections Corp.
11,"Account Management Services, Inc."
11,Accurate Background
11,"AmeriHome Mortgage Company, LLC"
11,"American Credit Bureau, Inc."
11,Armada Corp.
11,Audit & Adjustment Co. Inc.
11,"Bursey & Associates, P.C."
11,California Accounts Service
11,"Coastline Financial Resources, LLC"
11,Cohen & Associates
11,"Collins & Hilton Asset Group, LLC"
11,"Concentric Receivables Management, Ltd."
11,"Data-Central, LLC"
11,Envoy Mortgage Ltd.
11,First Guaranty Mortgage Corporation
11,Flagship Financial Group
11,"Genuine Debt Solutions, LLC."
11,"Hameroff Law Group, P.C."
11,"Hauge Associates, Inc."
11,Hewitt-Capital
11,"ID Analytics, Inc."
11,"Imortgage.com, Inc."
11,"J R Brothers Financial, Inc."
11,"Jacobs, Marsh LLC"
11,"Jerold Kaplan Law Office, P.C."
11,"Kross, Lieberman & Stone, Inc."
11,"Law Offices of Palmer, Reifler & Associates, P.A."
11,"Metropolitan Home Mortgage, Inc."
11,MidAmerica Mortgage Inc
11,"Mortgage Center, L. C."
11,"Nathan & Nathan, P.C."
11,"Niagara Credit Solutions, Inc"
11,"Pollack & Rosen, P.A."
11,"Receivable Management Group, Inc. (GA)"
11,Rocky Mountain Recovery Group
11,Scottrade Bank
11,"Silverman & Borenstein, PLLC"
11,State Street Bank
11,"States Recovery Systems, Inc."
11,"The Stark Collection Agency, Inc."
11,United Collection Service Inc
10,"ALEXANDER-ROSE ASSOC, INC."
10,"ARC Management Group, LLC"
10,Affiliated Acceptance Corporation
10,Alaska Commission on Post Secondary Education
10,American Southwest Mortgage Corporation
10,"Augusta Collection Agency, Inc."
10,"Autovest, L.L.C."
10,Bronstein & Weiss Arbitration
10,"Buffaloe & Associates, PLC"
10,C&F Mortgage Corporation
10,"CRA Collections, Inc"
10,"Campus Student Funding, LLC"
10,"Coastal Financial Solutions, LLC"
10,Cohen Kaplan Tulowitz LLC
10,Collectibles Management Resources
10,"Collection Bureau Services, Inc."
10,Conrad Credit Corporation
10,Credit Bureau Services Association
10,Credit International Corporation
10,Creekside Recovery And Capital Management
10,DCN Holdings Inc.
10,"Debt Management, Inc"
10,"Denovus Corporation, Ltd."
10,Diverse Funding Associates LLC
10,"Eagle Accounts Group, Inc."
10,"Featured Mediation, LLC"
10,Federated Law Group
10,First Advantage LNS Inc.
10,"First Choice Loan Services, Inc."
10,"GCFS, Inc."
10,"Health Services Asset Management, LLC."
10,Home Servicing LLC
10,Kadent Corporation
10,"Levy and Associates, LLC"
10,Mar Joe Enterprises
10,"Marlette Funding, LLC"
10,Maverick Funding Corp.
10,Mid-Atlantic Consumer Services
10,"Midwest Loan Services, Inc."
10,"Morgan & Pottinger, PSC"
10,"Morris, Hardwick, Schneider, LLC"
10,"National Credit Services, Inc."
10,"Nationwide Credit & Collection, Inc."
10,"Omni Financial Group, Inc"
10,P&L Acquisitions LLC
10,"Paramount Residential Mortgage Group, Inc."
10,"Patient Account Services, LLC"
10,"Peoples Home Equity, Inc."
10,"Peroutka, Miller, Klima & Peters, P.A."
10,"Preferred Collection and Management, Inc."
10,"Professional Recovery Consultants, Inc."
10,"RSB Equity Group, LLC"
10,Residential Finance Corporation (Closed)
10,"Richard Sokoloff, Attorney At Law"
10,"Robinson, Reagan and Young PLLC"
10,Rossman & Co
10,"Sacor Financial, Inc"
10,"Service Bureau, Inc."
10,"Stuart-Lippman and Associates, Inc"
10,"Todd, Bremer & Lawson, Inc."
10,"Union Adjustment Company, Inc."
10,"United Acceptance, Inc"
10,United Portfolio Corp.
10,"Universal Credit Services, Inc"
10,"Western Control Services, Inc."
10,Western Portfolio Assets
10,Westgate Arbitration INC
10,"Works & Lentz of Tulsa, Inc."
9,"AC Autopay, LLC"
9,"Account Control Systems, Inc"
9,Advance Bureau of Collections
9,"Allied Account Services, Inc."
9,"Alpat Company, Inc."
9,AmeriFirst Home Mortgage
9,"American Capital Enterprises, Inc."
9,American Pacific Mortgage Corporation
9,Amscot Corporation
9,"Audit Systems, Inc."
9,Automotive Credit Corporation
9,"Berlin-Wheeler, Inc. (Kansas)"
9,Brumbaugh & Quandahl
9,C B Merchant Services
9,CFG Financial Solutions Inc.
9,"Carmel Financial Corporation, Inc."
9,"Certified Services, Inc."
9,"Check Security Associates, LLC"
9,Collection Bureau Incorporated
9,"Collection Professionals, Inc (Wyoming)"
9,Collection Service of Nevada
9,Collections Unlimited of Texas
9,Consumer Asset Management (Texas)
9,Consumer Financial Services
9,Credit Adjustments Inc
9,Credit Bureau of Carbon County
9,"Credit Clearing House of America, Inc."
9,"Credit Services of Oregon, Inc."
9,"Credit World Services, Inc"
9,CrossCountry Mortgage Inc.
9,"Delmarva Collections, Inc."
9,"Delta Outsource Group, Inc."
9,"Diaz & Associates, Inc."
9,"Douglas, Chancellor, Meyers and Associates, LLC"
9,Duck Creek Tribal Financial
9,Eaton Group Attorneys LLC
9,FASTBUCKS HOLDING CORPORATION
9,"Financial Asset Management, Inc."
9,"First Continental Mortgage, Ltd"
9,"Hammerman & Hultgren, P.C."
9,"Hosto & Buchan, PLLC"
9,Justice Finance Company
9,"K. Hovnanian American Mortgage, L.L.C."
9,"LendingTree, Inc"
9,"Live Well Financial, Inc."
9,MidCountry Financial Corp.
9,"NIC, Inc."
9,NOVA Financial & Investment Corporation
9,"Network Funding, L.P."
9,"New Hampshire Northeast Credit Services, Inc."
9,"Nudelman, Klemm & Golub, P.C."
9,"On-Site Manager, Inc."
9,"PDQ Services, Inc."
9,"Professional Accounts Service, Inc. (Indiana)"
9,"Professional Claims Bureau, Inc."
9,SCV Inc.
9,"Schachter Portnoy, L.L.C."
9,Siwell Inc
9,"Southern Oregon Credit Service, Inc."
9,"Specified Credit Association 1, Inc."
9,"Stephen Einstein & Associates, P.C."
9,The Moore Law Group
9,Toll Brothers Inc.
9,Total Recovery Solutions
9,Triple AC Resolutions
9,Tuition Options LLC
9,"USA Discounters, Ltd."
9,"Universal Account Servicing, LLC"
9,WCS LENDING LLC
9,Wright & Lerch Attorneys At Law
9,"Zeller & Associates, LLC"
8,"Acquired Assets, Ltd."
8,"Advanced Recovery Systems, Inc."
8,"Aldridge Pite, LLP"
8,"All American Check Cashing, Inc."
8,Alliance Collection Service
8,"American Credit Resolution, Incorporated"
8,American Neighborhood Mortgage Acceptance Company LLC
8,Anselmo Lindberg Oliver LLC
8,"Apothaker & Associates, PC"
8,"Arbor Professional Solutions, Inc."
8,"Aspire Financial, Inc."
8,Astra Business Services
8,Banco Santander Puerto Rico
8,"Becker and Klein, LLC"
8,Bluestein Hirsch and Associates
8,Bonded Adjustment Company
8,"Brent D. Stamps, Attorney at Law"
8,"Brown Law, PLLC"
8,Bryant Bryant & Associates LLC
8,"CB1, Inc."
8,"CBM Services, Inc."
8,CFM Group LLC
8,"CHS, Inc."
8,CMK Investments Inc
8,Cobalt Mortgage
8,"Consumer Financial Debt Services, LLC"
8,"Credit Bureau of the South, Inc."
8,"Crosstown Law, LLC"
8,DRS Financial LLC
8,DolEx Dollar Express
8,"E. A. Uffman & Associates, Inc"
8,"Elite Financial Services, Inc."
8,Express Cash Mart Management
8,FTC
8,Fidelity Properties Inc.
8,"First Financial Resources, Inc."
8,Five Lakes Agency
8,Friendly Finance Corporation
8,Genworth Financial
8,"George Mason Mortgage, LLC"
8,Great American Finance Co
8,"Guaranteed Home Mortgage Company, Inc."
8,"Healthcare Receivables Group, Inc."
8,"HomeTown Lenders, LLC"
8,Horizon Financial Management
8,"Interstate Recovery Service, Inc."
8,"JMD,LLC"
8,Kentucky Higher Education Assistance Authority
8,"Keynote Consulting, Inc."
8,"Law Offices of Ed Overcash, LLC"
8,"Law Offices of Marvin S. C. Dang, LLC"
8,Louisiana Recovery Services Inc.
8,MS Services LLC
8,"Med-Health Financial Services, Inc."
8,"Midstate Collection Solutions, Inc."
8,"Midwest Fidelity Services, LLC"
8,Midwest Recovery Systems
8,"Mortgage Solutions of Colorado, LLC"
8,NPS GROUP
8,"National Consumer Telecom & Utilities Exchange, Inc."
8,National Payment Solutions of New York LLC
8,"Neuheisel Law Firm, P.C."
8,Partners Financial Services Inc
8,Pioneer Credit Company
8,Platinum Home Mortgage Corporation
8,"Ragan & Ragan, PC"
8,"Rochester Home Equity, Inc."
8,"Roosen, Varchetti & Olivier, PLLC"
8,"Rose & Associates, LLC."
8,"Russell Collection Agency, Inc"
8,"Shapiro, DiCaro & Barak, LLC"
8,TSC Accounts Receivable Solutions
8,Tammac Holdings
8,The J. G. Wentworth Company
8,"The Law Offices of Kenosian & Miele, LLP"
8,"Tiburon Financial, LLC"
8,Unifin Inc.
8,United Recovery Solutions
8,United Security Financial Corp
8,"Whetstone Partners, LLC"
7,2288984 Ontario Inc.
7,"ACCELERATED COLLECTION SERVICE, INC"
7,ACH Recovery Solutions
7,"AFS Acceptance, LLC"
7,"APPLE RECOVERY, LLC"
7,"AR Audit Services, Inc"
7,"Action Revenue Recovery, LLC"
7,"Advanced Call Center Technologies, LLC"
7,Agency of Credit Control
7,Alabama Housing Finance Authority
7,"Allied Collection Service, Inc. (Indiana)"
7,Argon Credit
7,Bennett Law PLLC
7,"Budget Control Services, Inc."
7,Cadillac Accounts Receivable Management
7,Certified Recovery Inc
7,College Loan Corporation
7,"Complete Credit Solutions, Inc."
7,"Credit Consulting Services, Inc."
7,"Credit Solutions, LLC (KY)"
7,Credit Union Mortgage Association
7,"Creditors Collection Bureau, Inc."
7,"DAS Acquisition Company, LLC"
7,Earm LLC
7,Edfinancial Services
7,"Emory Enterprises, LLC"
7,"Federal Cash Advance, LLC of Oklahoma"
7,Financial Data Systems
7,First California Mortgage Co
7,First Capital Recovery Inc.
7,"First Recovery Solutions, Inc."
7,Genpact Limited
7,"Hallmark Home Mortgage, LLC"
7,"Holloway & Moxley, LLP"
7,Hyperion Recovery LLC
7,"Innovative Collections, LLC"
7,Ivy Street Development Corp.
7,KeyBridge Medical Revenue Management
7,Law Office of Harris & Zide
7,"Law Offices of Krista L. White & Associates, P.S."
7,"Law Offices of Ross Gelfand, LLC"
7,LeaderOne Financial Corporation
7,"Mark A. Kirkorsky, PC"
7,"MarkOne Holdings, LLC"
7,"MedShield, Inc."
7,Mid-Michigan Collection Bureau
7,Midwest Acceptance Corp.
7,"Mitchell Rubenstein & Associates, P.C."
7,Modern Adjustment Bureau
7,Moneytree Inc
7,Mortgage Clearing Corporation
7,"National Check Bureau, Inc."
7,National Financial LLC
7,Nationwide Acceptance LLC
7,Nationwide Intermediary Services llc
7,"Nationwide Recovery Systems, Ltd"
7,"Niagara Capital Associates, Inc."
7,"Opportunity Financial, LLC"
7,"Peter Roberts & Associates, Inc."
7,"Phoenix Health Care Management Services, Inc."
7,Premier Portfolio Group
7,"Pro Com Services of Illinois, Inc."
7,"R & R Collection Service, Inc."
7,"RCO Hawaii, LLLC"
7,"RMI Services, LLC"
7,"Reliable Credit Association, Inc."
7,Resource Management Group
7,Retail Merchants Associates
7,Revenue Assurance Professionals LLC
7,Revenue Recovery Bureau
7,Ridgeway Advisory Group LLC
7,Sentrix Financial Services
7,"Simonâs Agency, Inc"
7,Smith Debnam Narron Drake Saintsing & Myers LLP
7,"Sokaogon Finance, Inc."
7,"Sprechman & Associates, P.A."
7,Summit Financial Corp
7,"Summit Funding, Inc."
7,Swe Homes LP
7,The PrivateBank and Trust Company
7,Towne Mortgage Company
7,"Triton Management Group, Inc"
7,"United Check Recovery, LLC"
7,United Pacific Mortgage
7,"Uptain Group, Inc."
7,"WR Starkey Mortgage, LLP"
7,"Zarzaur and Schwartz, PC"
6,"A/R CONCEPTS, INC."
6,"Account Recovery Services, Inc."
6,Allen & Withrow
6,Allied Mortgage Group
6,"AmeriFirst Financial, Inc."
6,American Credit Adjusters
6,American Financing Corporation
6,"American Revenue Management, Inc."
6,Ashwood Financial Inc
6,"Association Capital Resources, LLC"
6,"Biehl & Biehl, Inc"
6,"Bison Recovery Group, Inc."
6,BluFi Lending
6,Brazos Higher Education Servicing
6,"Broward Adjustment Services, Inc."
6,"Burton Neil & Associates, P.C."
6,"Business Law Group, P.A."
6,CIS Direct Lending
6,CONGRESS COLLECTION CORP
6,"California Recovery Bureau, Inc."
6,"Capital Recovery Systems, Inc."
6,"Cash Time Title Loans, Inc."
6,Cathay Bank
6,Centron Services
6,"Century Credit & Collections, LLC"
6,Century Mortgage Company
6,"Cohen McNeile & Pappas, PC"
6,"Collection Associates, Ltd."
6,Como Law Firm P.A.
6,Data Line Credit Corp
6,Diversified Recovery Services Inc.
6,"Epn, Inc."
6,"FEDERAL PACIFIC CREDIT COMPANY, LLC"
6,"Fairway Collections, LLC"
6,"Finance System of Toledo, Inc."
6,First Home Mortgage Corp
6,Flurish Inc.
6,Franklin First Financial
6,"General Information Services, Inc"
6,"Genesis Financial & Payment Systems Holdings, LLC"
6,"Gordon & Wong Law Group, P.C."
6,"H. Kent Hollins, Attorney at Law, P.A"
6,"Hiday & Ricke, P.A."
6,"Honor Finance Holdings, LLC"
6,"International City Mortgage, Inc."
6,"Jonathan Neil & Associates, Inc"
6,"Keith D. Weiner & Associates Co., L.P.A."
6,Kevin B. Wilson Law Offices
6,"Komyatte & Casbon, P.C."
6,Law Office of Linda Strumpf
6,Law Office of Regent and Associates
6,"Legacy Customer Management Group, LLC"
6,Lockhart Mediation Services
6,"Lockhart, Morris & Montgomery Inc."
6,"MJ Altman Companies, Inc."
6,Mediation Recovery Center
6,Merchants Credit Assoc. Inc SC
6,"Merchants Credit Bureau, Inc."
6,Michael Andrews & Associates LLC
6,Midwestern Health Management INC
6,"Money Now- Hattiesburg, Inc."
6,"Mortgage Capital Associates, Inc."
6,"Mountain West Financial, Inc"
6,"National Account Systems of Omaha, LLC"
6,National Mediation Services
6,Nations Lending Coporation
6,"North State Acceptance, LLC"
6,"Out Tech, Inc."
6,Pacific Rim Alliance Corporation
6,Patrick K Willis Company Inc
6,"Penncro Associates, Inc."
6,Premium Credit Bureau
6,"Protas, Spivok & Collins, LLC"
6,"RAB, INC."
6,RR Resource-Recovery
6,"Renew Financial, LLC"
6,"Republic Mortgage Home Loans, LLC"
6,Residential Mortgage Services
6,"Rubin & Debski, P.A."
6,SERVICELINK LOSS MITIGATION SERVICES
6,"Scheer, Green & Burke L.P.A."
6,"Scott Fetzer Financial Group, Inc."
6,"Second Alliance, Inc."
6,"Sharinn & Lipshie, P.C."
6,Signature Bank (NY)
6,"Skagit Bonded Collectors, LLC"
6,Solace Financial  (closed)
6,Sound Collection Services
6,"Southern Credit Adjusters, Inc."
6,Southwest Business Corporation
6,Suburban Mortgage Company of New Mexico
6,"Sunset Management, Inc"
6,"TaxServ, LLC"
6,"The Leviton Law Firm, Ltd."
6,"ULRS, Inc."
6,United Financial Service
6,"Valley Collection Service, LLC"
6,"Valley Credit Service, Inc. (OR)"
6,We Collect Inc
6,Wellmont Health System
6,"ZENCO COLLECTION, LLC"
6,"ZOA, LLC"
6,iServe Trust
5,1st Fidelity Loan Servicing
5,Absolute Mortgage Company Inc.
5,Absolute Resolutions Corp.
5,"Accelerated Creditors Services, Inc"
5,"Account Recovery Service, Inc. (WI)"
5,"Accounts Research, Inc."
5,"Action Financial Services, LLC"
5,"Action Professionals, Inc."
5,"Alco Collections, Inc."
5,"Allied Fidelity Services, LLC"
5,Alternative Collections LLC
5,"American Credit Exchange, Inc"
5,Applied Resolutions Group
5,"Associated Collectors, Inc."
5,Associated Mortgage Corporation
5,"Atlantic Bay Mortgage Group, LLC"
5,Atlas Collections Inc. (of New Castle)
5,"Atlas Collections, Inc."
5,B & B FINANCIAL SERVICES INC
5,"Bass & Associates, P.C., Attorneys at Law"
5,Bay Equity
5,"Bayside Capital Services, LLC"
5,Brazos Loan Servicing
5,"Bryant, Hodge & Associates LLC"
5,"CIG FINANCIAL, LLC"
5,COLLECTION PROFESSIONALS INC (Illinois)
5,"COLLECTIONS USA, INC."
5,"CU Recovery, Inc."
5,CW Financial
5,"Cascade Collections, Inc."
5,"Citywide Home Loans, a Utah Corporation"
5,"Collection Professionals, Inc. (Macomb, IL)"
5,Collections Inc
5,Columbia Collectors Inc
5,Community Cash Management Corp.
5,Contract Resolve Group LLC
5,"Credit Bureau Services, LLC"
5,Credit Bureau of San Luis Obispo & Santa Barbara Counties
5,Creditor Advocates Inc
5,Creditors Bureau Associates
5,Crescent Mortgage
5,"Darnel Quick Recovery, Inc."
5,"Data Search NY, Inc."
5,"Eagle Recovery Associates, Inc."
5,"Echelon Financial, Inc."
5,Empire Resolutions Group
5,"FIRST CASH FINANCIAL SERVICES, INC."
5,Finance Authority of Maine
5,"Finance System of Green Bay, Inc."
5,Financial Accounts Service Team Inc.
5,"Finkelstein, Kern, Steinberg & Cunningham, PC"
5,"Firsel Law Group, Ltd."
5,"First Mortgage Company, LLC"
5,Fleet Mortgage Corp
5,"GAMACHE & MYERS, PC"
5,GMFS LLC
5,GSF Mortgage Corporation
5,"General Business Recoveries, Inc."
5,"Gold Star Finance, Inc."
5,"Goldstein, Cruise and Smith LLC"
5,"Henley, Lotterhos & Henley, PLLC"
5,Highland Capital
5,"Hodosh, Lyon & Hammer, PC"
5,"Incomm Holdings, Inc."
5,Informative Research
5,"Interlinc Mortgage Services, LLC"
5,"Internal Check Systems, LLC"
5,"Interstate Credit & Collection, Inc."
5,"Jenkins, Wagnon & Young, P.C."
5,Jzanus Ltd.
5,"Landlord Rent Collections, LLC (Closed)"
5,"Lang, Richert & Patch"
5,"Law Offices of Timothy E. Baxter & Associates, P.C."
5,Law Offices of Timothy M. Sullivan
5,"MAS Financial Services, Inc."
5,"MB Financial, INC"
5,"Malen & Associates, p.c."
5,"Medical & Professional Collection Services, Inc. NC."
5,"Meyer & Njus, P.A."
5,"Mirand Response Systems, Inc."
5,"Mortgage Lenders of America, LLC"
5,"NARTEY LAW GROUP, LLC"
5,"National Bureau of Collections, Inc"
5,"National Education Servicing, LLC"
5,National Processing Group LLC
5,National Recovery Services LLC
5,"Nelson, Watson & Associates, LLC"
5,"Nexcheck, LLC"
5,"Northern Alliance Management, LLC"
5,Northwestern Mediation Services
5,Olympic Collection Inc.
5,PCS Receivables Corp.
5,"PLM Lender Services, Inc."
5,"Pan Am Collections, Inc."
5,"Paramount GR Holdings, LLC"
5,Pathfinder Credit Services
5,Patriot Mortgage Corporation
5,Paul Michael Marketing Service
5,"Pine Court Holdings, LLC"
5,"Porsche Financial Services, Inc."
5,Portland Credit Inc
5,"Precise Financial Group, LLC"
5,Professional Service Bureau
5,RMK Financial Corp
5,RP Funding Incorporated
5,"Receivable Solutions, Inc."
5,"Recovery Solutions Group, LLC"
5,Regional Trustee Services Corporation
5,ResMac Inc.
5,"Results Unlimited, Inc."
5,"Resurgence Legal Group, PC"
5,Reverse Mortgage Investment Trust Inc.
5,"Rickart Collection Systems, Inc."
5,"Robert W. Warner & Associates, P.C."
5,"S&S Physician Services, Inc."
5,Skyline Financial Corp
5,"Smith Law Firm, P.C."
5,Taylor Morrison Home Funding
5,Team Recovery Inc.
5,"The Castle Law Group, LLC"
5,"The Law Offices of Gerald E Moore & Associates, PC"
5,The McCue Mortgage Company
5,"The Wilber Law Firm, P.C."
5,Third Financial Services Corp
5,"Titan Receivables, Inc."
5,"Trademark Management Solutions, LLC."
5,Tri-Counties Accounts Adjustment Bureau
5,UNITED AUTO ACCEPTANCE
5,US Mortgage Corporation
5,"Venta Financial Group, Inc"
5,"Watermark Capital, INC."
5,"Western Mercantile Agency, Inc"
5,Wilshire Escrow Company
5,Worth Finance Corporation
5,Zions First National Bank
5,iFreedom Direct Corporation
4,"(Former)Shapiro, Swertfeger & Hasty, LLP"
4,"4M Collections, LLC"
4,"A & S Collection Associates, Inc."
4,ARC Services
4,"Accelerated Receivables Group, Inc."
4,"Acceptance Solutions Group, INC"
4,"Accounts Management, Inc"
4,Accounts Receivable Inc.
4,Acre Mortgage
4,Affiliated Management Services
4,"All State Credit Bureau, Inc."
4,"Alpine Credit, Inc"
4,AmeriNational Community Services
4,"American Debt Services, LLC"
4,Americash
4,"Applied Business Services, Inc."
4,Ascension Recovery Management
4,Automated Accounts Management Services
4,Automobile Acceptance Corporation
4,"Axia Financial, LLC"
4,"Bay Area Receivables, Inc."
4,"Bernhardt and Strawser, P.A."
4,Bleier & Cox APC
4,"Brightwater Capital, LLC"
4,Budget Mortgage Corp.
4,Bureau of Accounts Control
4,"Capital Credit and Collection Service, Inc."
4,"Carbucks of Delaware, Inc"
4,Centennial Lending LLC
4,"Certified Credit Reporting, Inc."
4,Check Fraud Services
4,"Cheek Law Offices, LLC"
4,Cimmaron Escrow Inc.
4,Citizens Savings & Loan Corporation
4,"Collection Bureau of Fort Walton Beach, Inc"
4,"Consolidated Recovery Group, LLC"
4,"Consumer Protection Assistance Coalition, Inc"
4,Contemporary Recovery Solutions Inc.
4,Controlled Credit Corporation
4,"Cornerstone Mortgage, Inc."
4,"Credit Bureau Associates-Northeast, Inc."
4,"Credit Bureau Data, Inc."
4,"Credit Bureau of Columbia, Inc."
4,Credit One LLC
4,Credit Service Company
4,"Credit Service, Inc"
4,"Crown Holdings, LLC"
4,DCQ LLC
4,Diverse Financial Enterprises
4,EMPIRE MEDIATION SERVICES LLC
4,"Equinox Financial Management Solutions, Inc."
4,Excella Recovery Group
4,"Executive Financial Consultants, Inc"
4,Express Aviation
4,"Farrell Holdings, LLC"
4,Financial Service Center
4,"First Priority Financial, Inc."
4,"Franklin Mortgage Solutions, LLC"
4,"Fredericksburg Credit Bureau, Inc."
4,"G&P Enterprises, LLC"
4,GARRETT FIRM
4,"GFS II, LLC"
4,"GTL Investments, Inc."
4,Georgia Student Finance Authority
4,Global One Arbitration Inc.
4,Global Recovery Solutions
